version,system_version,package
0.9,develop:1.0,collective.recipe.omelette
1.3,develop:1.0,collective.testcaselayer
1.4.5,develop:1.0,infrae.subversion
1.7,develop:1.0,mr.developer
1.3,develop:1.0,plone.reload
0.4,develop:freshen,NoseGrowl
0.3.3,develop:freshen,NoseXUnit
3.09,develop:freshen,PyYAML
1.3.1,develop:freshen,Pygments
1.1,develop:freshen,argparse
0.2,develop:freshen,freshen
1.0a2,develop:freshen,ftw.recipe.freshen
0.9.6,develop:freshen,kid
0.20.1,develop:freshen,logilab-astng
0.50.3,develop:freshen,logilab-common
1.14,develop:freshen,mr.developer
0.11.4,develop:freshen,nose
0.0.7,develop:freshen,py-Growl
0.21.1,develop:freshen,pylint
1.5.3,develop:freshen,pyparsing
0.3,develop:freshen,rudolf
1.0.3,develop:freshen,selenium
2.1.1,develop:freshen,simplejson
1.5.0b2,develop:freshen,zc.buildout
1.2.3b2,develop:freshen,zc.recipe.egg
2.0a5,develop:freshen-selenium2,selenium
1.0b1,develop:freshen-selenium2,ftw.recipe.freshen
1.0a2,egov:1.0a3,egov.mystuff
1.0a2,egov:1.0a3,egov.participation
1.0a3,egov:1.0a3,egov.policy
1.0a2,egov:1.0a3,egov.theme
1.0a2,egov:1.0a3,egov.translations
1.0a5,egov:1.0a3,ftw.contentmenu
1.1.1,egov:1.0a3,ftw.dashboard.dragndrop
1.1,egov:1.0a3,ftw.dashboard.portlets.favourites
1.2,egov:1.0a3,ftw.dashboard.portlets.postit
1.1.4,egov:1.0a3,ftw.dashboard.portlets.recentlymodified
1.0a2,egov:1.0a3,ftw.quota
2.8.0rc1,egov:1.0a3,iw.fss
0.8,egov:1.0a3,izug.arbeitsraum
1.0a1,egov:1.0a3,izug.base
1.0.3,egov:1.0a3,izug.bibliothek
0.7,egov:1.0a3,izug.blog
0.3,egov:1.0a3,izug.flowplayerblock
1.1,egov:1.0a3,izug.graphicblock
0.3,egov:1.0a3,izug.journal
0.2,egov:1.0a3,izug.orgunit
0.4,egov:1.0a3,izug.simplelayout
0.3,egov:1.0a3,izug.utils
0.7,egov:1.0a3,izug.workflow
1.0a2,egov:1.0a4,collective.mtrsetup
1.0a1,egov:1.0a4,egov.base
1.0a3,egov:1.0a4,egov.mystuff
1.0a3,egov:1.0a4,egov.participation
1.0a4,egov:1.0a4,egov.policy
1.0a2,egov:1.0a4,egov.procurement
