parent_name,name,footer,sort_key,header,extends
develop,1.0,,00000001.*final,,
develop,freshen,,*freshen.*final,,
develop,freshen-selenium2,,*freshen.*final-.*selenium.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_develop', u'SystemVersion', u'ver_freshen', _app=u'ftwkgs')]"
egov,1.0a2,,00000001.*a.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.1.2', _app=u'ftwkgs')]"
egov,1.0a3,,00000001.*a.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0a2', _app=u'ftwkgs')]"
egov,1.0a4,,00000001.*a.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0a3', _app=u'ftwkgs')]"
egov,1.0b1,,00000001.*b.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0a4', _app=u'ftwkgs')]"
egov,1.0b2,,00000001.*b.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0b1', _app=u'ftwkgs')]"
egov,1.0b3,,00000001.*b.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0b2', _app=u'ftwkgs')]"
egov,1.1,,00000001.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0b2', _app=u'ftwkgs')]"
egov,1.1-test,,00000001.00000001.*final-.*test.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.1', _app=u'ftwkgs')]"
egov,2.0,,00000002.*final,,
egov,2.1,,00000002.00000001.*final,,
egov,2.2,,00000002.00000002.*final,,
egov,2.3,,00000002.00000003.*final,,
egov,2.3.1,,00000002.00000003.00000001.*final,,
egov,2.3.2,,00000002.00000003.00000002.*final,,
egov,2.4.0,,00000002.00000004.*final,,
egov,2.4.1,,00000002.00000004.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.4.0', _app=u'ftwkgs')]"
egov,2.4.2,,00000002.00000004.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.4.1', _app=u'ftwkgs')]"
egov,2.5.0,,00000002.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.4.2', _app=u'ftwkgs')]"
egov,2.5.1,,00000002.00000005.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.5.0', _app=u'ftwkgs')]"
egov,2.5.2,,00000002.00000005.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.5.1', _app=u'ftwkgs')]"
egov,3.0,,00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc8', _app=u'ftwkgs')]"
egov,3.0.1,,00000003.00000000.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0', _app=u'ftwkgs')]"
egov,3.0rc1,,00000003.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.5.1', _app=u'ftwkgs')]"
egov,3.0rc2,,00000003.*c.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc1', _app=u'ftwkgs')]"
egov,3.0rc3,,00000003.*c.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc2', _app=u'ftwkgs')]"
egov,3.0rc4,,00000003.*c.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc3', _app=u'ftwkgs')]"
egov,3.0rc5,,00000003.*c.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc4', _app=u'ftwkgs')]"
egov,3.0rc6,,00000003.*c.00000006.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc5', _app=u'ftwkgs')]"
egov,3.0rc7,,00000003.*c.00000007.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc6', _app=u'ftwkgs')]"
egov,3.0rc8,,00000003.*c.00000008.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc7', _app=u'ftwkgs')]"
egov,3.1a1,,00000003.00000001.*a.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0.1', _app=u'ftwkgs')]"
egov,egov 3.0.2,,*egov.* .00000003.00000000.00000002.*final,,
finanzen.bs,1.0c1,,00000001.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.1', _app=u'ftwkgs')]"
ftw.publisher,1.0b1,,00000001.*b.00000001.*final,,
ftw.publisher,1.0c1,,00000001.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.0b1', _app=u'ftwkgs')]"
ftw.publisher,1.0c2,,00000001.*c.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.0c1', _app=u'ftwkgs')]"
ftw.publisher,1.5,,00000001.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.0c2', _app=u'ftwkgs')]"
